# This file contains the BRDF of the chassis
# of selected Starlink v1.5 satellites
# This BRDF applies to satellites with 
# NORAD IDs given in brightness_config_list.csv
# (phi_i, theta_i) are the zenith and azimuth angles
# of ingoing light
# (phi_o, theta_o) are the zenith and azimuth angles
# of scattered light
# This data was measured by Scatterworks
# and is at a wavelength lambda = 532 nm
# See Satellite Optical Brightness (Fankhauser et. al 2023)
# for more information
#
# phi_i     theta_i     phi_o     theta_o     brdf
75.00     -180.00     -90.00     0.00     1.00000e-04
75.00     -180.00     -89.00     0.00     1.56196e-04
75.00     -180.00     -88.00     0.00     5.21863e-03
75.00     -180.00     -87.00     0.00     1.74103e-02
75.00     -180.00     -86.00     0.00     1.61136e-02
75.00     -180.00     -85.00     0.00     1.97328e-02
75.00     -180.00     -84.00     0.00     2.20810e-02
75.00     -180.00     -83.00     0.00     2.30199e-02
75.00     -180.00     -82.00     0.00     2.37850e-02
75.00     -180.00     -81.00     0.00     2.38971e-02
75.00     -180.00     -80.00     0.00     2.45620e-02
75.00     -180.00     -79.00     0.00     2.35538e-02
75.00     -180.00     -78.00     0.00     2.33232e-02
75.00     -180.00     -77.00     0.00     2.30926e-02
75.00     -180.00     -76.00     0.00     2.28619e-02
75.00     -180.00     -75.00     0.00     2.26313e-02
75.00     -180.00     -74.00     0.00     2.24006e-02
75.00     -180.00     -73.00     0.00     2.21700e-02
75.00     -180.00     -72.00     0.00     2.19394e-02
75.00     -180.00     -71.00     0.00     2.17087e-02
75.00     -180.00     -70.00     0.00     2.05501e-02
75.00     -180.00     -69.00     0.00     2.01691e-02
75.00     -180.00     -68.00     0.00     1.94737e-02
75.00     -180.00     -67.00     0.00     1.92150e-02
75.00     -180.00     -66.00     0.00     1.87021e-02
75.00     -180.00     -65.00     0.00     1.81872e-02
75.00     -180.00     -64.00     0.00     1.80124e-02
75.00     -180.00     -63.00     0.00     1.76785e-02
75.00     -180.00     -62.00     0.00     1.71119e-02
75.00     -180.00     -61.00     0.00     1.64507e-02
75.00     -180.00     -60.00     0.00     1.62911e-02
75.00     -180.00     -59.00     0.00     1.61688e-02
75.00     -180.00     -58.00     0.00     1.60005e-02
75.00     -180.00     -57.00     0.00     1.58880e-02
75.00     -180.00     -56.00     0.00     1.55543e-02
75.00     -180.00     -55.00     0.00     1.51559e-02
