# This file contains the BRDF of the solar array
# of selected Starlink v1.5 satellites
# This BRDF applies to satellites with 
# NORAD IDs given in brightness_config_list.csv
# (phi_i, theta_i) are the zenith and azimuth angles
# of ingoing light
# (phi_o, theta_o) are the zenith and azimuth angles
# of scattered light
# This data was measured by Scatterworks
# and is at a wavelength lambda = 532 nm
# See Satellite Optical Brightness (Fankhauser et. al 2023)
# for more information
#
# phi_i     theta_i     phi_o     theta_o     brdf
75.00     -180.00     -90.00     0.00     1.00000e-04
75.00     -180.00     -89.00     0.00     9.33020e-04
75.00     -180.00     -88.00     0.00     1.30743e-03
75.00     -180.00     -87.00     0.00     1.36575e-03
75.00     -180.00     -86.00     0.00     1.51466e-03
75.00     -180.00     -85.00     0.00     1.71081e-03
75.00     -180.00     -84.00     0.00     1.81302e-03
75.00     -180.00     -83.00     0.00     1.87587e-03
75.00     -180.00     -82.00     0.00     1.69590e-03
75.00     -180.00     -81.00     0.00     1.51594e-03
75.00     -180.00     -80.00     0.00     1.57758e-03
75.00     -180.00     -79.00     0.00     1.63923e-03
75.00     -180.00     -78.00     0.00     1.70087e-03
75.00     -180.00     -77.00     0.00     1.76252e-03
75.00     -180.00     -76.00     0.00     1.82416e-03
75.00     -180.00     -75.00     0.00     1.88581e-03
75.00     -180.00     -74.00     0.00     1.94746e-03
75.00     -180.00     -73.00     0.00     2.00910e-03
75.00     -180.00     -72.00     0.00     2.07075e-03
75.00     -180.00     -71.00     0.00     2.13239e-03
75.00     -180.00     -70.00     0.00     2.19403e-03
75.00     -180.00     -69.00     0.00     2.25568e-03
75.00     -180.00     -68.00     0.00     2.31732e-03
75.00     -180.00     -67.00     0.00     2.37991e-03
75.00     -180.00     -66.00     0.00     2.27964e-03
75.00     -180.00     -65.00     0.00     2.17572e-03
75.00     -180.00     -64.00     0.00     2.13056e-03
75.00     -180.00     -63.00     0.00     2.08483e-03
75.00     -180.00     -62.00     0.00     2.03950e-03
75.00     -180.00     -61.00     0.00     1.98985e-03
75.00     -180.00     -60.00     0.00     1.95583e-03
75.00     -180.00     -59.00     0.00     1.93026e-03
75.00     -180.00     -58.00     0.00     1.87351e-03
75.00     -180.00     -57.00     0.00     1.81548e-03
75.00     -180.00     -56.00     0.00     1.76850e-03
75.00     -180.00     -55.00     0.00     1.71923e-03
75.00     -180.00     -54.00     0.00     2.79089e-03
75.00     -180.00     -53.00     0.00     2.66932e-03
75.00     -180.00     -52.00     0.00     2.68075e-03
75.00     -180.00     -51.00     0.00     2.68293e-03
75.00     -180.00     -50.00     0.00     2.67601e-03
75.00     -180.00     -49.00     0.00     2.66311e-03
75.00     -180.00     -48.00     0.00     2.65206e-03
75.00     -180.00     -47.00     0.00     2.67147e-03
75.00     -180.00     -46.00     0.00     2.70215e-03
75.00     -180.00     -45.00     0.00     2.70135e-03
75.00     -180.00     -44.00     0.00     2.70849e-03
75.00     -180.00     -43.00     0.00     2.72300e-03
75.00     -180.00     -42.00     0.00     2.74279e-03
75.00     -180.00     -41.00     0.00     2.74394e-03
75.00     -180.00     -40.00     0.00     2.74113e-03
75.00     -180.00     -39.00     0.00     2.73986e-03
75.00     -180.00     -38.00     0.00     2.72387e-03
75.00     -180.00     -37.00     0.00     2.70150e-03
75.00     -180.00     -36.00     0.00     2.69586e-03
75.00     -180.00     -35.00     0.00     2.70347e-03
75.00     -180.00     -34.00     0.00     2.70876e-03
75.00     -180.00     -33.00     0.00     2.69646e-03
75.00     -180.00     -32.00     0.00     2.72155e-03
75.00     -180.00     -31.00     0.00     2.74703e-03
75.00     -180.00     -30.00     0.00     2.74724e-03
75.00     -180.00     -29.00     0.00     2.74872e-03
75.00     -180.00     -28.00     0.00     2.74107e-03
75.00     -180.00     -27.00     0.00     2.72408e-03
75.00     -180.00     -26.00     0.00     2.70417e-03
75.00     -180.00     -25.00     0.00     2.68918e-03
75.00     -180.00     -24.00     0.00     2.72090e-03
75.00     -180.00     -23.00     0.00     2.73993e-03
75.00     -180.00     -22.00     0.00     2.77130e-03
75.00     -180.00     -21.00     0.00     2.76471e-03
75.00     -180.00     -20.00     0.00     2.79569e-03
75.00     -180.00     -19.00     0.00     2.86259e-03
75.00     -180.00     -18.00     0.00     2.86658e-03
75.00     -180.00     -17.00     0.00     2.86195e-03
75.00     -180.00     -16.00     0.00     2.86632e-03
75.00     -180.00     -15.00     0.00     2.91708e-03
75.00     -180.00     -14.00     0.00     2.92918e-03
75.00     -180.00     -13.00     0.00     2.95033e-03
75.00     -180.00     -12.00     0.00     2.93991e-03
75.00     -180.00     -11.00     0.00     2.88405e-03
75.00     -180.00     -10.00     0.00     2.90254e-03
75.00     -180.00     -9.00     0.00     2.93255e-03
75.00     -180.00     -8.00     0.00     2.95539e-03
75.00     -180.00     -7.00     0.00     2.96658e-03
75.00     -180.00     -6.00     0.00     2.98081e-03
75.00     -180.00     -5.00     0.00     2.98841e-03
75.00     -180.00     -4.00     0.00     3.00693e-03
75.00     -180.00     -3.00     0.00     3.04321e-03
75.00     -180.00     -2.00     0.00     3.04567e-03
75.00     -180.00     -1.00     0.00     2.99297e-03
75.00     -180.00     0.00     0.00     2.98433e-03
75.00     -180.00     1.00     0.00     2.97518e-03
75.00     -180.00     2.00     0.00     2.96349e-03
75.00     -180.00     3.00     0.00     2.94137e-03
75.00     -180.00     4.00     0.00     2.92606e-03
75.00     -180.00     5.00     0.00     2.95618e-03
75.00     -180.00     6.00     0.00     2.92017e-03
75.00     -180.00     7.00     0.00     2.96447e-03
75.00     -180.00     8.00     0.00     2.98304e-03
75.00     -180.00     9.00     0.00     3.03771e-03
75.00     -180.00     10.00     0.00     3.08944e-03
75.00     -180.00     11.00     0.00     3.12212e-03
75.00     -180.00     12.00     0.00     3.13784e-03
75.00     -180.00     13.00     0.00     3.14789e-03
75.00     -180.00     14.00     0.00     3.21950e-03
75.00     -180.00     15.00     0.00     3.28014e-03
75.00     -180.00     16.00     0.00     3.32030e-03
75.00     -180.00     17.00     0.00     3.41733e-03
75.00     -180.00     18.00     0.00     3.46365e-03
75.00     -180.00     19.00     0.00     3.55448e-03
75.00     -180.00     20.00     0.00     3.68157e-03
75.00     -180.00     21.00     0.00     3.79424e-03
75.00     -180.00     22.00     0.00     3.92153e-03
75.00     -180.00     23.00     0.00     4.06423e-03
75.00     -180.00     24.00     0.00     4.18818e-03
75.00     -180.00     25.00     0.00     4.34604e-03
75.00     -180.00     26.00     0.00     4.48798e-03
75.00     -180.00     27.00     0.00     4.66108e-03
75.00     -180.00     28.00     0.00     4.81860e-03
75.00     -180.00     29.00     0.00     5.06220e-03
75.00     -180.00     30.00     0.00     5.32787e-03
75.00     -180.00     31.00     0.00     5.66800e-03
75.00     -180.00     32.00     0.00     5.94681e-03
75.00     -180.00     33.00     0.00     6.41887e-03
75.00     -180.00     34.00     0.00     6.84438e-03
75.00     -180.00     35.00     0.00     7.25519e-03
75.00     -180.00     36.00     0.00     7.89903e-03
75.00     -180.00     37.00     0.00     8.50046e-03
75.00     -180.00     38.00     0.00     9.21561e-03
75.00     -180.00     39.00     0.00     1.01021e-02
75.00     -180.00     40.00     0.00     1.11657e-02
75.00     -180.00     41.00     0.00     1.23415e-02
75.00     -180.00     42.00     0.00     1.35153e-02
75.00     -180.00     43.00     0.00     1.47249e-02
75.00     -180.00     44.00     0.00     1.65751e-02
75.00     -180.00     45.00     0.00     1.84117e-02
75.00     -180.00     46.00     0.00     2.02583e-02
75.00     -180.00     47.00     0.00     2.28392e-02
75.00     -180.00     48.00     0.00     2.48150e-02
75.00     -180.00     49.00     0.00     2.80172e-02
75.00     -180.00     50.00     0.00     3.17175e-02
75.00     -180.00     51.00     0.00     3.56374e-02
75.00     -180.00     52.00     0.00     3.89659e-02
75.00     -180.00     53.00     0.00     4.44076e-02
75.00     -180.00     54.00     0.00     5.04540e-02
75.00     -180.00     55.00     0.00     5.75820e-02
75.00     -180.00     56.00     0.00     6.47576e-02
75.00     -180.00     57.00     0.00     7.41572e-02
75.00     -180.00     58.00     0.00     8.42620e-02
75.00     -180.00     59.00     0.00     9.77972e-02
75.00     -180.00     60.00     0.00     1.11940e-01
75.00     -180.00     61.00     0.00     1.30047e-01
75.00     -180.00     62.00     0.00     1.52925e-01
75.00     -180.00     63.00     0.00     1.85548e-01
75.00     -180.00     64.00     0.00     2.21888e-01
75.00     -180.00     65.00     0.00     2.70896e-01
75.00     -180.00     66.00     0.00     3.23543e-01
75.00     -180.00     67.00     0.00     3.85603e-01
75.00     -180.00     68.00     0.00     4.62770e-01
75.00     -180.00     69.00     0.00     5.35216e-01
75.00     -180.00     70.00     0.00     6.09777e-01
75.00     -180.00     71.00     0.00     6.80207e-01
75.00     -180.00     72.00     0.00     8.37700e-01
75.00     -180.00     73.00     0.00     1.23626e+00
75.00     -180.00     74.00     0.00     4.06153e+00
75.00     -180.00     75.00     0.00     5.33414e+04
75.00     -180.00     76.00     0.00     5.61951e+00
75.00     -180.00     77.00     0.00     1.35582e+00
75.00     -180.00     78.00     0.00     9.56891e-01
75.00     -180.00     79.00     0.00     7.63934e-01
75.00     -180.00     80.00     0.00     6.22880e-01
75.00     -180.00     81.00     0.00     5.31517e-01
75.00     -180.00     82.00     0.00     4.58526e-01
75.00     -180.00     83.00     0.00     3.97084e-01
75.00     -180.00     84.00     0.00     3.40134e-01
75.00     -180.00     85.00     0.00     2.95515e-01
75.00     -180.00     86.00     0.00     2.39658e-01
75.00     -180.00     87.00     0.00     2.14774e-01
75.00     -180.00     88.00     0.00     1.60015e-01
75.00     -180.00     89.00     0.00     1.25325e-02
75.00     -180.00     90.00     0.00     1.11442e-02
60.00     -180.00     -90.00     0.00     1.00000e-04
60.00     -180.00     -89.00     0.00     1.00000e-04
60.00     -180.00     -88.00     0.00     5.56534e-04
60.00     -180.00     -87.00     0.00     6.66489e-04
60.00     -180.00     -86.00     0.00     7.96268e-04
60.00     -180.00     -85.00     0.00     9.18747e-04
60.00     -180.00     -84.00     0.00     1.06350e-03
60.00     -180.00     -83.00     0.00     1.12393e-03
60.00     -180.00     -82.00     0.00     1.18725e-03
60.00     -180.00     -81.00     0.00     1.25975e-03
60.00     -180.00     -80.00     0.00     1.33032e-03
60.00     -180.00     -79.00     0.00     1.37890e-03
60.00     -180.00     -78.00     0.00     1.43920e-03
60.00     -180.00     -77.00     0.00     1.49906e-03
60.00     -180.00     -76.00     0.00     1.55340e-03
60.00     -180.00     -75.00     0.00     1.59448e-03
60.00     -180.00     -74.00     0.00     1.63872e-03
60.00     -180.00     -73.00     0.00     1.61844e-03
60.00     -180.00     -72.00     0.00     1.58832e-03
60.00     -180.00     -71.00     0.00     1.61885e-03
60.00     -180.00     -70.00     0.00     1.64827e-03
60.00     -180.00     -69.00     0.00     2.73693e-03
60.00     -180.00     -68.00     0.00     2.64277e-03
60.00     -180.00     -67.00     0.00     2.66446e-03
60.00     -180.00     -66.00     0.00     2.69739e-03
60.00     -180.00     -65.00     0.00     2.71570e-03
60.00     -180.00     -64.00     0.00     2.72175e-03
60.00     -180.00     -63.00     0.00     2.72957e-03
60.00     -180.00     -62.00     0.00     2.76737e-03
60.00     -180.00     -61.00     0.00     2.80590e-03
60.00     -180.00     -60.00     0.00     2.82095e-03
60.00     -180.00     -59.00     0.00     2.84253e-03
60.00     -180.00     -58.00     0.00     2.88006e-03
60.00     -180.00     -57.00     0.00     2.91406e-03
60.00     -180.00     -56.00     0.00     2.92972e-03
60.00     -180.00     -55.00     0.00     2.94411e-03
60.00     -180.00     -54.00     0.00     2.94416e-03
60.00     -180.00     -53.00     0.00     2.94409e-03
60.00     -180.00     -52.00     0.00     2.93600e-03
60.00     -180.00     -51.00     0.00     2.93441e-03
60.00     -180.00     -50.00     0.00     2.93811e-03
60.00     -180.00     -49.00     0.00     2.94025e-03
60.00     -180.00     -48.00     0.00     2.93790e-03
60.00     -180.00     -47.00     0.00     2.95769e-03
60.00     -180.00     -46.00     0.00     2.96836e-03
60.00     -180.00     -45.00     0.00     2.95577e-03
60.00     -180.00     -44.00     0.00     2.94033e-03
60.00     -180.00     -43.00     0.00     2.91703e-03
60.00     -180.00     -42.00     0.00     2.87247e-03
60.00     -180.00     -41.00     0.00     2.86212e-03
60.00     -180.00     -40.00     0.00     2.85127e-03
60.00     -180.00     -39.00     0.00     2.86141e-03
60.00     -180.00     -38.00     0.00     2.86347e-03
60.00     -180.00     -37.00     0.00     2.89024e-03
60.00     -180.00     -36.00     0.00     2.87962e-03
60.00     -180.00     -35.00     0.00     2.89459e-03
60.00     -180.00     -34.00     0.00     2.93841e-03
60.00     -180.00     -33.00     0.00     2.95008e-03
60.00     -180.00     -32.00     0.00     2.95073e-03
60.00     -180.00     -31.00     0.00     2.94056e-03
60.00     -180.00     -30.00     0.00     2.98454e-03
60.00     -180.00     -29.00     0.00     2.99272e-03
60.00     -180.00     -28.00     0.00     2.99519e-03
60.00     -180.00     -27.00     0.00     2.97582e-03
60.00     -180.00     -26.00     0.00     2.90989e-03
60.00     -180.00     -25.00     0.00     2.92512e-03
60.00     -180.00     -24.00     0.00     2.93042e-03
60.00     -180.00     -23.00     0.00     2.94845e-03
60.00     -180.00     -22.00     0.00     2.95204e-03
60.00     -180.00     -21.00     0.00     2.96448e-03
60.00     -180.00     -20.00     0.00     2.98629e-03
60.00     -180.00     -19.00     0.00     2.98674e-03
60.00     -180.00     -18.00     0.00     3.01648e-03
60.00     -180.00     -17.00     0.00     3.00103e-03
60.00     -180.00     -16.00     0.00     2.93639e-03
60.00     -180.00     -15.00     0.00     2.93140e-03
60.00     -180.00     -14.00     0.00     2.90484e-03
60.00     -180.00     -13.00     0.00     2.87081e-03
60.00     -180.00     -12.00     0.00     2.83733e-03
60.00     -180.00     -11.00     0.00     2.81974e-03
60.00     -180.00     -10.00     0.00     2.81393e-03
60.00     -180.00     -9.00     0.00     2.78572e-03
60.00     -180.00     -8.00     0.00     2.77874e-03
60.00     -180.00     -7.00     0.00     2.79435e-03
60.00     -180.00     -6.00     0.00     2.82508e-03
60.00     -180.00     -5.00     0.00     2.85338e-03
60.00     -180.00     -4.00     0.00     2.84964e-03
60.00     -180.00     -3.00     0.00     2.82769e-03
60.00     -180.00     -2.00     0.00     2.82379e-03
60.00     -180.00     -1.00     0.00     2.87232e-03
60.00     -180.00     0.00     0.00     2.88683e-03
60.00     -180.00     1.00     0.00     2.90864e-03
60.00     -180.00     2.00     0.00     2.92253e-03
60.00     -180.00     3.00     0.00     2.93350e-03
60.00     -180.00     4.00     0.00     2.98178e-03
60.00     -180.00     5.00     0.00     3.05202e-03
60.00     -180.00     6.00     0.00     3.06129e-03
60.00     -180.00     7.00     0.00     3.14339e-03
60.00     -180.00     8.00     0.00     3.22457e-03
60.00     -180.00     9.00     0.00     3.27635e-03
60.00     -180.00     10.00     0.00     3.35051e-03
60.00     -180.00     11.00     0.00     3.42022e-03
60.00     -180.00     12.00     0.00     3.47020e-03
60.00     -180.00     13.00     0.00     3.54981e-03
60.00     -180.00     14.00     0.00     3.68239e-03
60.00     -180.00     15.00     0.00     3.80920e-03
60.00     -180.00     16.00     0.00     3.96824e-03
60.00     -180.00     17.00     0.00     4.13591e-03
60.00     -180.00     18.00     0.00     4.32596e-03
60.00     -180.00     19.00     0.00     4.55200e-03
60.00     -180.00     20.00     0.00     4.76045e-03
60.00     -180.00     21.00     0.00     4.96561e-03
60.00     -180.00     22.00     0.00     5.26468e-03
60.00     -180.00     23.00     0.00     5.49827e-03
60.00     -180.00     24.00     0.00     5.79329e-03
60.00     -180.00     25.00     0.00     6.35237e-03
60.00     -180.00     26.00     0.00     6.90668e-03
60.00     -180.00     27.00     0.00     7.47354e-03
60.00     -180.00     28.00     0.00     8.00897e-03
60.00     -180.00     29.00     0.00     8.72628e-03
60.00     -180.00     30.00     0.00     9.78457e-03
60.00     -180.00     31.00     0.00     1.07153e-02
60.00     -180.00     32.00     0.00     1.17995e-02
60.00     -180.00     33.00     0.00     1.31099e-02
60.00     -180.00     34.00     0.00     1.47298e-02
60.00     -180.00     35.00     0.00     1.66113e-02
60.00     -180.00     36.00     0.00     1.87028e-02
60.00     -180.00     37.00     0.00     2.11846e-02
60.00     -180.00     38.00     0.00     2.42004e-02
60.00     -180.00     39.00     0.00     2.77797e-02
60.00     -180.00     40.00     0.00     3.16293e-02
60.00     -180.00     41.00     0.00     3.62293e-02
60.00     -180.00     42.00     0.00     4.16853e-02
60.00     -180.00     43.00     0.00     4.82644e-02
60.00     -180.00     44.00     0.00     5.58980e-02
60.00     -180.00     45.00     0.00     6.52770e-02
60.00     -180.00     46.00     0.00     7.89372e-02
60.00     -180.00     47.00     0.00     9.53774e-02
60.00     -180.00     48.00     0.00     1.20411e-01
60.00     -180.00     49.00     0.00     1.51032e-01
60.00     -180.00     50.00     0.00     1.86257e-01
60.00     -180.00     51.00     0.00     2.35709e-01
60.00     -180.00     52.00     0.00     3.05757e-01
60.00     -180.00     53.00     0.00     3.74150e-01
60.00     -180.00     54.00     0.00     4.30333e-01
60.00     -180.00     55.00     0.00     4.90260e-01
60.00     -180.00     56.00     0.00     5.57960e-01
60.00     -180.00     57.00     0.00     6.82102e-01
60.00     -180.00     58.00     0.00     7.74126e-01
60.00     -180.00     59.00     0.00     1.05512e+00
60.00     -180.00     60.00     0.00     1.35665e+04
60.00     -180.00     61.00     0.00     1.18418e+00
60.00     -180.00     62.00     0.00     8.63523e-01
60.00     -180.00     63.00     0.00     7.59478e-01
60.00     -180.00     64.00     0.00     6.24522e-01
60.00     -180.00     65.00     0.00     5.00744e-01
60.00     -180.00     66.00     0.00     4.10656e-01
60.00     -180.00     67.00     0.00     3.52695e-01
60.00     -180.00     68.00     0.00     3.01529e-01
60.00     -180.00     69.00     0.00     2.56791e-01
60.00     -180.00     70.00     0.00     2.23596e-01
60.00     -180.00     71.00     0.00     1.96750e-01
60.00     -180.00     72.00     0.00     1.80246e-01
60.00     -180.00     73.00     0.00     1.65003e-01
60.00     -180.00     74.00     0.00     1.46165e-01
60.00     -180.00     75.00     0.00     1.31097e-01
60.00     -180.00     76.00     0.00     1.20157e-01
60.00     -180.00     77.00     0.00     1.10658e-01
60.00     -180.00     78.00     0.00     1.00758e-01
60.00     -180.00     79.00     0.00     9.42357e-02
60.00     -180.00     80.00     0.00     8.80384e-02
60.00     -180.00     81.00     0.00     8.06502e-02
60.00     -180.00     82.00     0.00     7.48386e-02
60.00     -180.00     83.00     0.00     6.61916e-02
60.00     -180.00     84.00     0.00     5.99379e-02
60.00     -180.00     85.00     0.00     5.45411e-02
60.00     -180.00     86.00     0.00     4.80617e-02
60.00     -180.00     87.00     0.00     4.05711e-02
60.00     -180.00     88.00     0.00     5.89788e-03
60.00     -180.00     89.00     0.00     5.47554e-03
60.00     -180.00     90.00     0.00     5.43126e-03
41.40     -180.00     -90.00     0.00     1.00000e-04
41.40     -180.00     -89.00     0.00     1.00000e-04
41.40     -180.00     -88.00     0.00     1.44042e-03
41.40     -180.00     -87.00     0.00     1.32472e-03
41.40     -180.00     -86.00     0.00     1.44736e-03
41.40     -180.00     -85.00     0.00     1.53048e-03
41.40     -180.00     -84.00     0.00     1.60201e-03
41.40     -180.00     -83.00     0.00     1.70718e-03
41.40     -180.00     -82.00     0.00     1.73817e-03
41.40     -180.00     -81.00     0.00     1.79177e-03
41.40     -180.00     -80.00     0.00     1.90589e-03
41.40     -180.00     -79.00     0.00     1.97001e-03
41.40     -180.00     -78.00     0.00     2.05000e-03
41.40     -180.00     -77.00     0.00     2.07470e-03
41.40     -180.00     -76.00     0.00     2.14276e-03
41.40     -180.00     -75.00     0.00     2.22181e-03
41.40     -180.00     -74.00     0.00     2.27842e-03
41.40     -180.00     -73.00     0.00     2.31833e-03
41.40     -180.00     -72.00     0.00     2.36117e-03
41.40     -180.00     -71.00     0.00     2.35015e-03
41.40     -180.00     -70.00     0.00     2.36069e-03
41.40     -180.00     -69.00     0.00     2.36721e-03
41.40     -180.00     -68.00     0.00     2.42489e-03
41.40     -180.00     -67.00     0.00     2.43444e-03
41.40     -180.00     -66.00     0.00     2.47453e-03
41.40     -180.00     -65.00     0.00     2.52351e-03
41.40     -180.00     -64.00     0.00     2.52218e-03
41.40     -180.00     -63.00     0.00     2.53964e-03
41.40     -180.00     -62.00     0.00     2.58260e-03
41.40     -180.00     -61.00     0.00     2.54766e-03
41.40     -180.00     -60.00     0.00     2.54333e-03
41.40     -180.00     -59.00     0.00     2.53559e-03
41.40     -180.00     -58.00     0.00     2.59693e-03
41.40     -180.00     -57.00     0.00     2.60688e-03
41.40     -180.00     -56.00     0.00     2.67547e-03
41.40     -180.00     -55.00     0.00     2.71372e-03
41.40     -180.00     -54.00     0.00     2.70480e-03
41.40     -180.00     -53.00     0.00     2.81037e-03
41.40     -180.00     -52.00     0.00     2.78969e-03
41.40     -180.00     -51.00     0.00     2.86234e-03
41.40     -180.00     -50.00     0.00     2.85197e-03
41.40     -180.00     -49.00     0.00     2.91720e-03
