# This file contains ~14,000 BRDF measurements
# for vegetation. This data was gathered using the
# Cloud Absorption Radiometer (CARs) sensor
# during the CLASIC mission over Oklahoma.
# This data is for 479 nm
# Visit https://car.gsfc.nasa.gov/ for raw data
# and more details.
# See Satellite Optical Brightness (Fankhauser et. al)
# for more information.
#
# phi_i     theta_i     phi_o     theta_o     brdf
30.420     180.000     64.500     360.000     4.14445e-01
30.420     180.000     34.500     263.000     1.43639e-01
30.420     180.000     72.000     183.000     1.30936e-01
30.420     180.000     63.000     337.000     3.56806e-01
30.420     180.000     83.500     193.000     1.87181e-01
30.420     180.000     69.000     41.000     2.70935e-01
30.420     180.000     58.000     249.000     1.26012e-01
30.420     180.000     1.000     307.000     2.11199e-01
30.420     180.000     31.000     116.000     1.20221e-01
30.420     180.000     39.000     6.000     3.69802e-01
30.420     180.000     90.000     276.000     1.88879e-01
30.420     180.000     69.000     287.000     1.93741e-01
30.420     180.000     60.500     86.000     1.48421e-01
30.420     180.000     3.500     335.000     2.41553e-01
30.420     180.000     18.500     295.000     2.59617e-01
30.420     180.000     58.500     183.000     9.60967e-02
30.420     180.000     18.500     258.000     1.66669e-01
30.420     180.000     27.000     97.000     1.50752e-01
30.420     180.000     90.000     21.000     3.09461e-01
30.420     180.000     45.000     85.000     1.45546e-01
30.420     180.000     23.000     232.000     1.27892e-01
30.420     180.000     2.500     150.000     1.94062e-01
30.420     180.000     1.000     207.000     2.02352e-01
30.420     180.000     75.500     289.000     2.13297e-01
30.420     180.000     64.500     226.000     1.19336e-01
30.420     180.000     83.000     175.000     1.81047e-01
30.420     180.000     47.000     70.000     1.80715e-01
30.420     180.000     25.000     340.000     4.36241e-01
30.420     180.000     0.000     75.000     2.09825e-01
30.420     180.000     32.500     336.000     4.41653e-01
30.420     180.000     68.500     229.000     1.29404e-01
30.420     180.000     8.000     57.000     2.51419e-01
30.420     180.000     26.500     101.000     1.48431e-01
30.420     180.000     85.500     164.000     1.90323e-01
30.420     180.000     18.000     98.000     1.67873e-01
30.420     180.000     61.500     221.000     1.13000e-01
30.420     180.000     54.000     136.000     9.68754e-02
30.420     180.000     31.500     236.000     1.15952e-01
30.420     180.000     77.000     135.000     1.58899e-01
30.420     180.000     56.000     94.000     1.32277e-01
30.420     180.000     73.500     312.000     2.64197e-01
30.420     180.000     27.500     131.000     1.15413e-01
30.420     180.000     35.000     328.000     4.25346e-01
30.420     180.000     85.500     174.000     1.90014e-01
30.420     180.000     82.500     103.000     1.88573e-01
30.420     180.000     51.000     331.000     3.76041e-01
30.420     180.000     22.500     287.000     2.37946e-01
30.420     180.000     34.000     101.000     1.34683e-01
30.420     180.000     57.000     169.000     9.29540e-02
30.420     180.000     26.500     250.000     1.36145e-01
30.420     180.000     33.500     305.000     2.69120e-01
30.420     180.000     64.000     107.000     1.28325e-01
30.420     180.000     65.000     289.000     1.88719e-01
30.420     180.000     3.500     85.000     2.16102e-01
30.420     180.000     25.000     119.000     1.30261e-01
30.420     180.000     29.000     287.000     2.25192e-01
30.420     180.000     88.000     248.000     1.90757e-01
30.420     180.000     66.500     137.000     1.16151e-01
30.420     180.000     85.000     169.000     1.88295e-01
30.420     180.000     13.000     8.000     4.10246e-01
30.420     180.000     17.500     315.000     2.98885e-01
30.420     180.000     45.500     81.000     1.54293e-01
30.420     180.000     51.500     296.000     1.99981e-01
30.420     180.000     73.000     219.000     1.40191e-01
30.420     180.000     9.500     180.000     1.56529e-01
30.420     180.000     40.500     348.000     4.06268e-01
30.420     180.000     6.000     342.000     2.50638e-01
30.420     180.000     20.000     328.000     3.73115e-01
30.420     180.000     2.000     303.000     2.17274e-01
30.420     180.000     69.000     147.000     1.21195e-01
30.420     180.000     28.000     164.000     1.01706e-01
30.420     180.000     10.500     121.000     1.67438e-01
30.420     180.000     89.000     285.000     2.20674e-01
30.420     180.000     44.500     264.000     1.36510e-01
30.420     180.000     37.000     109.000     1.20800e-01
30.420     180.000     87.000     42.000     3.11507e-01
30.420     180.000     28.000     290.000     2.39354e-01
30.420     180.000     28.000     343.000     3.75673e-01
30.420     180.000     66.500     181.000     1.12912e-01
30.420     180.000     85.500     104.000     1.91239e-01
30.420     180.000     25.000     172.000     1.06118e-01
30.420     180.000     60.000     98.000     1.30517e-01
30.420     180.000     30.500     272.000     1.68924e-01
30.420     180.000     6.500     39.000     2.63158e-01
