phi_i     theta_i     phi_o     theta_o     brdf
24.919     180.000     65.500     79.000     2.16009e-01
24.919     180.000     57.500     53.000     2.95799e-01
24.919     180.000     90.000     116.000     2.09258e-01
24.919     180.000     49.500     147.000     1.61779e-01
24.919     180.000     20.500     285.000     4.60043e-01
24.919     180.000     68.000     47.000     2.75414e-01
24.919     180.000     37.500     302.000     2.42767e-01
24.919     180.000     7.500     321.000     3.38782e-01
24.919     180.000     63.500     56.000     2.41805e-01
24.919     180.000     16.500     52.000     3.53305e-01
24.919     180.000     69.000     332.000     4.18072e-01
24.919     180.000     55.000     141.000     2.13333e-01
24.919     180.000     56.000     211.000     1.37842e-01
24.919     180.000     69.500     236.000     2.42903e-01
24.919     180.000     37.500     271.000     1.91839e-01
24.919     180.000     71.500     124.000     3.49633e-01
24.919     180.000     53.000     248.000     1.55054e-01
24.919     180.000     31.500     214.000     1.22346e-01
24.919     180.000     77.000     241.000     3.33325e-01
24.919     180.000     53.500     143.000     1.96101e-01
24.919     180.000     72.000     29.000     3.56042e-01
24.919     180.000     10.500     223.000     2.50684e-01
24.919     180.000     24.500     294.000     4.83214e-01
24.919     180.000     87.500     111.000     2.57289e-01
24.919     180.000     19.500     44.000     4.07395e-01
24.919     180.000     59.500     5.000     4.46534e-01
24.919     180.000     26.500     42.000     4.24888e-01
24.919     180.000     45.000     109.000     2.95870e-01
24.919     180.000     29.000     198.000     1.20128e-01
24.919     180.000     85.000     242.000     2.80075e-01
24.919     180.000     64.500     316.000     2.95734e-01
24.919     180.000     26.500     252.000     3.47731e-01
24.919     180.000     82.500     191.000     2.78873e-01
24.919     180.000     5.500     163.000     2.99669e-01
24.919     180.000     56.000     96.000     2.81428e-01
24.919     180.000     90.000     229.000     2.05648e-01
24.919     180.000     21.500     227.000     2.40584e-01
24.919     180.000     40.500     301.000     2.31952e-01
24.919     180.000     39.500     100.000     1.66714e-01
24.919     180.000     35.000     162.000     1.14652e-01
24.919     180.000     67.000     254.000     2.60276e-01
24.919     180.000     30.000     290.000     3.85813e-01
24.919     180.000     68.500     312.000     3.30668e-01
24.919     180.000     20.000     79.000     2.16200e-01
24.919     180.000     1.000     203.000     2.70158e-01
24.919     180.000     41.000     133.000     1.31774e-01
24.919     180.000     28.000     125.000     1.47799e-01
24.919     180.000     87.500     159.000     2.55684e-01
24.919     180.000     44.000     89.000     2.40437e-01
24.919     180.000     6.500     31.000     3.21597e-01
24.919     180.000     41.500     110.000     1.83126e-01
24.919     180.000     78.000     216.000     3.36563e-01
24.919     180.000     45.000     316.000     2.94324e-01
24.919     180.000     42.000     347.000     5.50981e-01
24.919     180.000     73.000     281.000     3.52724e-01
24.919     180.000     9.000     279.000     5.72134e-01
24.919     180.000     1.000     349.000     2.76200e-01
24.919     180.000     57.000     110.000     1.91955e-01
24.919     180.000     0.500     50.000     2.62539e-01
24.919     180.000     27.500     131.000     1.45712e-01
24.919     180.000     36.500     186.000     1.12541e-01
24.919     180.000     62.500     287.000     2.52106e-01
24.919     180.000     53.500     282.000     2.11081e-01
24.919     180.000     51.000     221.000     1.29166e-01
24.919     180.000     15.000     234.000     3.46884e-01
24.919     180.000     44.500     210.000     1.18789e-01
24.919     180.000     69.000     357.000     4.93490e-01
24.919     180.000     45.500     56.000     4.95147e-01
24.919     180.000     41.000     22.000     5.20954e-01
24.919     180.000     55.500     70.000     5.27124e-01
24.919     180.000     52.500     120.000     1.50238e-01
24.919     180.000     6.000     52.000     2.79672e-01
24.919     180.000     74.000     187.000     3.18495e-01
24.919     180.000     54.500     344.000     4.57134e-01
24.919     180.000     77.500     12.000     3.62079e-01
24.919     180.000     0.000     197.000     2.71721e-01
24.919     180.000     29.000     341.000     4.61214e-01
24.919     180.000     50.500     184.000     1.22771e-01
24.919     180.000     7.500     290.000     5.07810e-01
24.919     180.000     70.500     67.000     2.52405e-01
24.919     180.000     83.000     35.000     3.03991e-01
24.919     180.000     67.000     136.000     3.20769e-01
24.919     180.000     35.500     290.000     2.42853e-01
24.919     180.000     67.500     285.000     2.73296e-01
24.919     180.000     32.500     167.000     1.14354e-01
24.919     180.000     28.500     113.000     1.55911e-01
24.919     180.000     13.500     234.000     3.27630e-01
24.919     180.000     27.500     216.000     1.28246e-01
24.919     180.000     54.000     169.000     1.53842e-01
24.919     180.000     52.000     355.000     5.47239e-01
24.919     180.000     63.000     88.000     3.87419e-01
24.919     180.000     35.000     229.000     1.30838e-01
24.919     180.000     25.000     212.000     1.46108e-01
24.919     180.000     43.000     316.000     3.02235e-01
24.919     180.000     10.000     316.000     2.75789e-01
24.919     180.000     78.000     334.000     3.65151e-01
24.919     180.000     61.000     237.000     1.60079e-01
24.919     180.000     78.000     297.000     3.54176e-01
24.919     180.000     76.000     186.000     2.69902e-01
24.919     180.000     42.000     323.000     3.34312e-01
25.535     180.000     68.000     278.000     2.78510e-01
25.535     180.000     17.000     256.000     2.27764e-01
25.535     180.000     52.500     112.000     1.67923e-01
25.535     180.000     65.000     76.000     2.30737e-01
25.535     180.000     6.500     88.000     2.84077e-01
25.535     180.000     24.500     4.000     4.53565e-01
25.535     180.000     31.500     331.000     5.49037e-01
25.535     180.000     36.500     158.000     1.21435e-01
25.535     180.000     73.000     12.000     4.26240e-01
25.535     180.000     21.500     360.000     4.89319e-01
25.535     180.000     68.500     298.000     3.19669e-01
25.535     180.000     52.000     232.000     1.39957e-01
25.535     180.000     16.000     218.000     2.54406e-01
25.535     180.000     26.500     150.000     1.30423e-01
25.535     180.000     87.000     21.000     3.18821e-01
25.535     180.000     42.000     163.000     1.18196e-01
25.535     180.000     72.500     287.000     3.40927e-01
25.535     180.000     81.500     198.000     2.92568e-01
25.535     180.000     64.500     224.000     2.36886e-01
25.535     180.000     23.000     260.000     2.52914e-01
25.535     180.000     69.500     4.000     4.78150e-01
25.535     180.000     2.000     24.000     3.80922e-01
25.535     180.000     27.000     103.000     1.74417e-01
25.535     180.000     70.000     207.000     3.17357e-01
25.535     180.000     5.500     195.000     3.12334e-01
25.535     180.000     68.000     117.000     3.43762e-01
25.535     180.000     83.000     323.000     3.40368e-01
25.535     180.000     56.000     34.000     5.58281e-01
25.535     180.000     51.500     22.000     5.57823e-01
25.535     180.000     29.000     174.000     1.19344e-01
25.535     180.000     6.000     339.000     4.60075e-01
25.535     180.000     68.000     78.000     2.31349e-01
25.535     180.000     82.500     155.000     3.02422e-01
25.535     180.000     89.500     21.000     3.78069e-01
25.535     180.000     87.500     156.000     2.78010e-01
25.535     180.000     36.500     281.000     2.00696e-01
25.535     180.000     11.000     9.000     5.37395e-01
25.535     180.000     15.500     66.000     2.37394e-01
25.535     180.000     58.000     97.000     2.61680e-01
25.535     180.000     54.500     327.000     3.10875e-01
25.535     180.000     19.000     337.000     5.19642e-01
25.535     180.000     83.000     208.000     2.86490e-01
25.535     180.000     63.000     285.000     2.43783e-01
25.535     180.000     31.500     29.000     5.20630e-01
25.535     180.000     45.000     237.000     1.34359e-01
25.535     180.000     53.500     124.000     1.99972e-01
25.535     180.000     69.000     17.000     3.83214e-01
25.535     180.000     47.500     253.000     1.85999e-01
25.535     180.000     10.500     342.000     5.01003e-01
25.535     180.000     77.500     108.000     3.49365e-01
25.535     180.000     52.500     261.000     1.76440e-01
25.535     180.000     61.000     288.000     2.35983e-01
25.535     180.000     50.000     6.000     5.35246e-01
25.535     180.000     2.000     229.000     3.00949e-01
25.535     180.000     53.500     236.000     1.48789e-01
25.535     180.000     15.000     207.000     3.21669e-01
25.535     180.000     88.000     306.000     3.42877e-01
25.535     180.000     23.000     31.000     4.54691e-01
25.535     180.000     86.000     229.000     2.83800e-01
25.535     180.000     46.000     213.000     1.41594e-01
25.535     180.000     38.500     144.000     1.32804e-01
25.535     180.000     79.000     172.000     3.37915e-01
25.535     180.000     58.000     251.000     1.68556e-01
25.535     180.000     53.500     232.000     1.44111e-01
25.535     180.000     72.000     37.000     3.41672e-01
25.535     180.000     77.500     291.000     3.65454e-01
25.535     180.000     81.000     154.000     3.15545e-01
25.535     180.000     0.500     280.000     2.60984e-01
25.535     180.000     73.000     309.000     3.94048e-01
25.535     180.000     63.000     5.000     3.53917e-01
25.535     180.000     72.500     69.000     2.68972e-01
25.535     180.000     56.500     0.000     5.69282e-01
25.535     180.000     30.000     222.000     1.68505e-01
25.535     180.000     29.500     80.000     2.21057e-01
25.535     180.000     47.000     46.000     3.24923e-01
25.535     180.000     60.500     32.000     4.74771e-01
25.535     180.000     40.500     90.000     2.57775e-01
25.535     180.000     4.000     48.000     3.40131e-01
25.535     180.000     33.000     209.000     1.19494e-01
25.535     180.000     81.500     152.000     3.11307e-01
25.535     180.000     3.500     26.000     3.80622e-01
25.535     180.000     47.500     148.000     1.35126e-01
25.535     180.000     33.000     143.000     1.25538e-01
25.535     180.000     61.000     298.000     2.57583e-01
25.535     180.000     83.500     19.000     3.47336e-01
25.535     180.000     79.500     348.000     3.68780e-01
25.535     180.000     40.000     81.000     2.04932e-01
25.535     180.000     13.500     79.000     2.26404e-01
25.535     180.000     67.500     176.000     2.31170e-01
25.535     180.000     32.500     356.000     5.18421e-01
25.535     180.000     79.000     192.000     3.04967e-01
25.535     180.000     28.500     99.000     1.77766e-01
25.535     180.000     53.000     9.000     5.60319e-01
25.535     180.000     52.000     55.000     3.08947e-01
25.535     180.000     68.000     206.000     2.56689e-01
25.535     180.000     88.000     77.000     3.51331e-01
25.535     180.000     9.000     150.000     3.59995e-01
25.535     180.000     19.000     201.000     1.97998e-01
25.535     180.000     10.500     26.000     4.05331e-01
25.535     180.000     46.500     88.000     3.05685e-01
26.061     180.000     48.500     262.000     1.78078e-01
26.061     180.000     35.500     137.000     1.32619e-01
26.061     180.000     5.000     80.000     2.72199e-01
26.061     180.000     5.500     60.000     3.17806e-01
26.061     180.000     28.000     139.000     1.36869e-01
26.061     180.000     79.000     244.000     3.37271e-01
26.061     180.000     8.000     86.000     2.58917e-01
26.061     180.000     69.500     98.000     2.81980e-01
26.061     180.000     17.000     160.000     1.50595e-01
26.061     180.000     81.500     273.000     3.07456e-01
26.061     180.000     40.500     341.000     4.98564e-01
26.061     180.000     61.000     287.000     2.20294e-01
26.061     180.000     69.000     75.000     2.35148e-01
26.061     180.000     35.500     75.000     2.30855e-01
26.061     180.000     71.500     151.000     3.15256e-01
26.061     180.000     46.500     300.000     2.43869e-01
26.061     180.000     35.500     347.000     5.76123e-01
26.061     180.000     73.500     16.000     3.90057e-01
26.061     180.000     84.000     343.000     3.55523e-01
26.061     180.000     88.500     229.000     2.64181e-01
26.061     180.000     31.500     346.000     4.68632e-01
26.061     180.000     79.000     341.000     3.69535e-01
26.061     180.000     60.500     232.000     1.92356e-01
26.061     180.000     86.500     307.000     2.98822e-01
26.061     180.000     68.000     329.000     4.58774e-01
26.061     180.000     83.500     286.000     3.02610e-01
26.061     180.000     59.000     297.000     2.48530e-01
26.061     180.000     55.500     23.000     3.47387e-01
26.061     180.000     83.500     192.000     2.82940e-01
26.061     180.000     76.500     190.000     2.93606e-01
26.061     180.000     41.500     130.000     1.49725e-01
26.061     180.000     23.500     338.000     4.70011e-01
26.061     180.000     23.500     0.000     4.64205e-01
26.061     180.000     66.500     52.000     2.58548e-01
26.061     180.000     37.500     102.000     1.76792e-01
26.061     180.000     23.000     115.000     1.68186e-01
26.061     180.000     40.500     249.000     1.46867e-01
26.061     180.000     7.500     60.000     3.31908e-01
26.061     180.000     66.500     326.000     3.50500e-01
26.061     180.000     1.500     73.000     2.74071e-01
26.061     180.000     65.500     262.000     2.17819e-01
26.061     180.000     65.000     74.000     2.32495e-01
26.061     180.000     10.000     209.000     1.74804e-01
26.061     180.000     38.000     136.000     1.27900e-01
26.061     180.000     54.000     253.000     1.80725e-01
26.061     180.000     82.500     16.000     3.62521e-01
26.061     180.000     37.000     254.000     1.58381e-01
26.061     180.000     83.000     201.000     2.91460e-01
26.061     180.000     6.500     102.000     2.58254e-01
26.061     180.000     64.000     339.000     3.95056e-01
